ID,Comment,Like
             20Y1G YEO CHANG XIN VICTOR           ,"Guys, the number of views is not important. The main thing is that we must be happy that our queens finally hit us with that comeback. And also if they are comfortable with it :)Edit. Thanks for the likes! Anyways...BP has broken records! Fastest MV to hit 100M views, most viewed MV in 24 hours!! Way to go blinks! It has been a week since their comeback, and we have already hit 218M views! Although the view count is dropping, we ain't gonna care about that. We are glad BP's ddu du ddu du surpassed 1B and that is all we ask for.Edit: damn 700 likes thx! :3ok yall are crazy 900 likes? WTH??Wtf 1.1k? Are yall insane???Woah I nvr got this many likes thanks!! :DI havent checked in like 2 months and its at 2.2k? Waaaaaaaaaaaat",    2.7천  
             manjumie kim           ,Who is still streaming for MUSIC VIDEO OF THE YEAR?,    1.2만  
             TR Melike Beyaz           ,TURKİSH Blink,    838  
             Meriah           ,I hate that people are fighting over this... I’m army and blink so I don’t like the 2 fandoms fighting. Or anybody fighting over a long waited song. And it’s not just army’s or blinks it’s random people who have never listened to KPOP and just want something to bother people about. Haters are gonna be haters but the fan wars... what’s the point??? KPOP idols get along perfectly fine so why can’t we.,    8만  
             VocalQueenLisa           ,If you think BLACKPINK deserve lots of awards then don't forget to str3am HYLT like its your lasfhjsk,    779  
             Myrtle           ,"Haters: hard spam to freeze viеwsBlinks: silently break recordHow you like that, haters?ps. sorry for my eng (I'm russian)",    4.5만  
             LA           ,"EVEN IF ITS TWENTY FOUR HOURS ALREADY, PLEASE DON'T STOP STRMING. LET'S REACH ONE HUNDRED MILLION VIEWS TODAY.I didn't expect this would get so many likes.. BUT PLEASE KEEP STREAMING! LETS BEAT THE RECORD OF THE FASTEST MV TO REACH 100 MILLION VI3WS.update: we reached 400 million views in just 43 days and it's exactly blackpink's 4th anniversary 🥺 just wow 👏🏼🖤💗 FOURever 🖤💗",    1만  
             ROSILY NC           ,VOTE BLACKPINK FOR MAMA 2020! Our girls deserve it!,    438  
             Baby Lisa           ,VOTE IN MAMA 2020 BLINKS. OUR GIRLS NEED WINS !!!!,    243  
             yashwanth kommasani           ,This comment section is getting worse,    1.6만  
             毛毛           ,80M in 24h we did it blinksss,    4천  
             Irene Dominguez           ,Vote MAMA BLACKPINK HOU YOU LIKE THAT Best song of year,    301  
             4 years with JenChuLiChaeng           ,Blinks don't forget to vote on mama soty and hylt then the album,    465  
             ستوريات منوعة           ,كم عربي يحط لايك,    1천  
